name,url,status,characters,file,error
دستور مملكة البحرين,https://www.lloc.gov.bh/page/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1%20%D9%85%D9%85%D9%84%D9%83%D8%A9%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86,DOWNLOADED,48340,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Constitution_Real\دستور مملكة البحرين.txt,
مذكرة تفسيرية لدستور مملكة البحرين,https://www.lloc.gov.bh/page/%D9%85%D8%B0%D9%83%D8%B1%D8%A9%20%D8%AA%D9%81%D8%B3%D9%8A%D8%B1%D9%8A%D8%A9%20%D9%84%D8%AF%D8%B3%D8%AA%D9%88%D8%B1%20%D9%85%D9%85%D9%84%D9%83%D8%A9%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86,DOWNLOADED,106817,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Constitution_Real\مذكرة تفسيرية لدستور مملكة البحرين.txt,
ميثاق العمل الوطني,https://www.lloc.gov.bh/page/%D9%85%D9%8A%D8%AB%D8%A7%D9%82%20%D8%A7%D9%84%D8%B9%D9%85%D9%84%20%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A,DOWNLOADED,30395,C:\Users\Fatima Khalifa\GA_DSB\Capstone_Project\LLOC_Constitution_Real\ميثاق العمل الوطني.txt,
